,Airport,Type,City,Country,IATA,ICAO,FAA
55,Tarapacá,Small airport,Tarapacá,Colombia,TCD,,
56,Tulcea,Medium airport,Tulcea,Romania,TCE,LRTC,
57,TocoaClosed,Closed,Tocoa,Honduras,TCF,,
58,Tacheng,Small airport,Tacheng,China,TCG,ZWTC,
59,Tchibanga,Small airport,Tchibanga,Gabon,TCH,FOOT,
60,Torembi,Small airport,Torembi,Papua New Guinea,TCJ,AYVM,
61,Tinboli,Small airport,Tinboli,Papua New Guinea,TCK,AYYL,
62,Tuscaloosa Regional,Medium airport,Tuscaloosa,United States,TCL,KTCL,TCL
63,McChord Air Force Base,Large airport,Tacoma,United States,TCM,KTCM,TCM
64,Tehuacan,Small airport,,Mexico,TCN,MMHC,
65,La Florida,Medium airport,Tumaco,Colombia,TCO,SKCO,
66,Taba International,Medium airport,Taba,Egypt,TCP,HETB,
67,Coronel FAP Carlos Ciriani Santa Rosa International,Medium airport,Tacna,Perú,TCQ,SPTN,
68,Tuticorin,Small airport,Thoothukudi,India,TCR,VOTK,
69,Truth Or Consequences Municipal,Medium airport,Truth Or Consequences,United States,TCS,KTCS,TCS
70,Takotna,Small airport,Takotna,United States,TCT,PPCT,TCT
71,Thaba Nchu Tar,Small airport,Homeward,South Africa,TCU,FATN,
72,TeteClosed,Closed,Tete,Mozambique,TCV,,
73,Tocumwal,Small airport,,Australia,TCW,YTOC,
74,Tabas,Medium airport,Tabas,Iran,TCX,OIMT,
75,Terrace Bay,Small airport,Terrace Bay,Namibia,TCY,FYTE,
76,Tengchong Tuofeng,Medium airport,Tengchong,China,TCZ,ZUTC,
77,Trinidad,Small airport,Trinidad,Colombia,TDA,SKTD,
78,Tetebedi,Small airport,Tetebedi,Papua New Guinea,TDB,AYTF,
79,Teniente Av. Jorge Henrich Arauz,Medium airport,Trinidad,Bolivia,TDD,SLTR,
80,Tandag,Medium airport,,Philippines,TDG,RPMW,
81,Tadjoura,Small airport,Tadjoura,Djibouti,TDJ,HDTJ,
82,Taldykorgan,Medium airport,Taldy Kurgan,Kazakhstan,TDK,,
83,Héroes De Malvinas,Medium airport,Tandil,Argentina,TDL,SAZT,
84,Theda Station,Small airport,Theda Station,Australia,TDN,YTHD,
85,Ed Carlson Memorial Field South Lewis County,Small airport,Toledo,United States,TDO,KTDO,TDO
86,Trompeteros,Small airport,Corrientes,Perú,TDP,SPDR,
87,Theodore,Small airport,,Australia,TDR,YTDR,
88,Sasereme,Small airport,Sasereme,Papua New Guinea,TDS,AYSS,
89,Tanda Tula,Small airport,Welverdiend,South Africa,TDT,FATD,
90,Samangoky,Small airport,Tanandava,Madagascar,TDV,FMSN,
91,Tradewind,Small airport,Amarillo,United States,TDW,KTDW,TDW
92,Trat,Medium airport,,Thailand,TDX,VTBO,
93,Toledo Executive,Small airport,Toledo,United States,TDZ,KTDZ,TDZ
94,Tela,Medium airport,Tela,Honduras,TEA,MHTE,
95,Teterboro,Medium airport,Teterboro,United States,TEB,KTEB,TEB
96,Telêmaco Borba,Medium airport,Telêmaco Borba,Brazil,TEC,SBTL,
97,Thisted,Medium airport,Thisted,Denmark,TED,EKTS,
98,Cheikh Larbi Tébessi,Medium airport,Tébessi,Algeria,TEE,DABS,
99,Telfer,Medium airport,,Australia,TEF,YTEF,
0,Tenkodogo,Small airport,Tenkodogo,Burkina Faso,TEG,DFET,
1,TetlinClosed,Closed,"Tetlin, AK",United States,TEH,,
2,Tezu,Small airport,Tezu,India,TEI,VETJ,
3,Tatitlek,Small airport,Tatitlek,United States,TEK,PAKA,7KA
4,Telupid,Small airport,Telupid,Malaysia,TEL,WBKE,
5,Temora,Medium airport,,Australia,TEM,YTEM,
6,Tongren Fenghuang,Small airport,,China,TEN,ZUTR,
7,Terapo,Small airport,Terapo Mission,Papua New Guinea,TEO,AYTY,
8,Tep Tep,Small airport,Teptep,Papua New Guinea,TEP,AYTP,
9,Tekirdağ Çorlu,Medium airport,Çorlu,Turkey,TEQ,LTBU,
10,Lajes,Large airport,Praia da Vitória,Portugal,TER,LPLA,
11,Tessenei,Small airport,Tessenei,Eritrea,TES,HHTS,
12,Chingozi,Medium airport,Tete,Mozambique,TET,FQTT,
13,Manapouri,Medium airport,,New Zealand,TEU,NZMO,
14,Teruel,Medium airport,Teruel,Spain,TEV,LETL,
15,Telluride Regional,Small airport,Telluride,United States,TEX,KTEX,TEX
16,Þingeyri,Small airport,Þingeyri,Iceland,TEY,BITE,
17,Tezpur,Medium airport,,India,TEZ,VETZ,
18,Tifalmin,Small airport,Tifalmin,Papua New Guinea,TFB,AYTH,
19,Tefé,Medium airport,Tefé,Brazil,TFF,SBTF,
20,Tufi,Small airport,Tufi,Papua New Guinea,TFI,AYTU,
21,Juscelino Kubitscheck,Small airport,Teófilo Otoni,Brazil,TFL,SNTO,
22,Telefomin,Small airport,Telefomin,Papua New Guinea,TFM,AYTE,
23,Tenerife Norte,Large airport,Tenerife Island,Spain,TFN,GCXO,
24,RamadanClosed,Closed,Ramadan,Egypt,TFR,,
25,Tenerife South,Large airport,Tenerife Island,Spain,TFS,GCTS,
26,Taftan,Small airport,Taftan,Pakistan,TFT,OPTT,
27,TarfayaClosed,Closed,Tarfaya,Morocco,TFY,,
28,Tengah Air Base,Medium airport,,Singapore,TGA,WSAT,
29,TagbitaClosed,Closed,Tagbita,Philippines,TGB,,
30,Tanjung Manis,Small airport,Tanjung Manis,Malaysia,TGC,WBGT,
31,Podgorica,Large airport,Podgorica,Montenegro,TGD,LYPG,
32,Sharpe Field,Small airport,Tuskegee,United States,TGE,AL73,AL73
33,TignesClosed,Closed,Tignes,France,TGF,,
34,Sultan Mahmud,Medium airport,Kuala Terengganu,Malaysia,TGG,WMKN,
35,Tongoa,Small airport,Tongoa Island,Vanuatu,TGH,NVST,
36,Tingo Maria,Small airport,Tingo Maria,Perú,TGI,SPGM,
37,Tiga,Medium airport,Tiga,New Caledonia,TGJ,NWWA,
38,Taganrog Yuzhny,Medium airport,Taganrog,Russia,TGK,URRT,
39,Tagula,Small airport,Sudest Island,Papua New Guinea,TGL,AYTG,
40,Transilvania Târgu Mureş International,Medium airport,Târgu Mureş,Romania,TGM,LRTM,
41,Latrobe Valley,Medium airport,Morwell,Australia,TGN,YLTV,
42,Tongliao,Medium airport,Tongliao,China,TGO,ZBTL,
43,Tangará da Serra,Small airport,Tangará Da Serra,Brazil,TGQ,SWTS,
44,Touggourt Sidi Madhi,Medium airport,Touggourt,Algeria,TGR,DAUK,
45,Chokwé,Small airport,Chokwé,Mozambique,TGS,,
46,Tanga,Medium airport,Tanga,Tanzania,TGT,HTTG,
47,Toncontín International,Medium airport,Tegucigalpa,Honduras,TGU,MHTG,
48,Bukhovtsi Airfield,Small airport,Targovishte,Bulgaria,TGV,LBTG,
49,TingrelaClosed,Closed,Tingrela,Côte d'Ivoire,TGX,,
50,Angel Albino Corzo International,Medium airport,Tuxtla Gutiérrez,Mexico,TGZ,MMTG,
51,Tullahoma Regional Arpt/Wm Northern Field,Small airport,Tullahoma,United States,THA,KTHA,THA
52,Thaba-Tseka,Small airport,Thaba-Tseka,Lesotho,THB,FXTA,
53,Tchien,Small airport,Tchien,Liberia,THC,GLTN,
54,Senador Petrônio Portela,Medium airport,Teresina,Brazil,THE,SBTE,
55,Berlin-Tempelhof InternationalClosed,Closed,Berlin,Germany,THF,EDDI,
56,Thangool,Medium airport,Biloela,Australia,THG,YTNG,
57,Taharoa Aerodrome,Small airport,Taharoa,New Zealand,THH,NZTS,
58,Tichitt,Small airport,Tichitt,Mauritania,THI,GQNC,
59,Thakhek,Small airport,Thakhek,Laos,THK,VLTK,
60,Tachileik,Medium airport,Tachileik,Burma,THL,VYTL,
61,Thompson Falls,Small airport,Thompson Falls,United States,THM,KTHM,THM
62,Trollhättan-Vänersborg,Medium airport,Trollhättan,Sweden,THN,ESGT,
63,Thorshofn,Small airport,Thorshofn,Iceland,THO,BITN,
64,Hot Springs County,Small airport,Thermopolis,United States,THP,KHSG,HSG
65,Tianshui Maijishan,Medium airport,Tianshui,China,THQ,ZLTS,
66,Mehrabad International,Large airport,Tehran,Iran,THR,OIII,
67,Sukhothai,Medium airport,,Thailand,THS,VTPO,
68,Tamchakett,Small airport,Tamchakett,Mauritania,THT,GQNT,
69,Thule Air Base,Medium airport,Thule,Greenland,THU,BGTL,
70,York,Small airport,York,United States,THV,KTHV,THV
71,Turukhansk,Small airport,Turukhansk,Russia,THX,UOTT,
72,Thohoyandou,Small airport,Thohoyandou,South Africa,THY,FATH,
73,Tahoua,Medium airport,Tahoua,Niger,THZ,DRRT,
74,Tirana International Mother Teresa,Large airport,Tirana,Albania,TIA,LATI,
75,Tibú,Small airport,Tibú,Colombia,TIB,SKTB,
76,Tinak,Small airport,Arno Atoll,Marshall Islands,TIC,,
77,Bou Chekif,Medium airport,Tiaret,Algeria,TID,DAOB,
78,Tippi,Small airport,Tippi,Ethiopia,TIE,HATP,
79,Ta’if Regional,Medium airport,Ta’if,Saudi Arabia,TIF,OETF,
80,TingwonClosed,Closed,Tingwon Island,Papua New Guinea,TIG,,
81,Tikehau,Medium airport,,French Polynesia,TIH,NTGC,
82,Tarin Kowt,Small airport,Tarin Kowt,Afghanistan,TII,OATN,
83,General Abelardo L. Rodríguez International,Large airport,Tijuana,Mexico,TIJ,MMTJ,
84,Tinker Air Force Base,Large airport,Oklahoma City,United States,TIK,KTIK,TIK
85,Cheadle,Small airport,Cheadle,Canada,TIL,CFQ4,
86,Moses Kilangin,Medium airport,Timika-Papua Island,Indonesia,TIM,WABP,
87,Tindouf,Medium airport,Tindouf,Algeria,TIN,DAOF,
88,Tilin,Small airport,Tilin,Burma,TIO,VYHN,
89,Tripoli International,Large airport,Tripoli,Libya,TIP,HLLT,
90,Tinian International,Medium airport,Tinian Island,Northern Mariana Islands,TIQ,PGWT,TNI
91,Tirupati,Small airport,Tirupati,India,TIR,VOTP,
92,Timaru,Medium airport,,New Zealand,TIU,NZTU,
93,Tivat,Medium airport,Tivat,Montenegro,TIV,LYTV,
94,Tacoma Narrows,Medium airport,Tacoma,United States,TIW,KTIW,TIW
95,Space Coast Regional,Medium airport,Titusville,United States,TIX,KTIX,TIX
96,Tidjikja,Small airport,Tidjikja,Mauritania,TIY,GQND,
97,Tari,Small airport,Tari,Papua New Guinea,TIZ,AYTA,
98,Capitan Oriel Lea Plaza,Medium airport,Tarija,Bolivia,TJA,SLTJ,
99,Sei Bati,Small airport,Tanjung Balai-Karinmunbesar Island,Indonesia,TJB,WIBT,
0,Ticantiki,Small airport,Ticantiqui,Panama,TJC,,
1,Warukin,Medium airport,Tanta-Tabalong-Borneo Island,Indonesia,TJG,WAON,
2,Tajima,Medium airport,Tajima,Japan,TJH,RJBT,
3,Trujillo,Medium airport,Trujillo,Honduras,TJI,MHTJ,
4,Tokat,Medium airport,Tokat,Turkey,TJK,LTAW,
5,Plínio Alarcom,Small airport,Três Lagoas,Brazil,TJL,SBTG,
6,Roshchino International,Medium airport,Tyumen,Russia,TJM,USTR,
7,Takume,Small airport,Takume,French Polynesia,TJN,NTKM,
8,Buluh Tumbang (H A S Hanandjoeddin),Small airport,Tanjung Pandan-Belitung Island,Indonesia,TJQ,WIOD,
9,Tanjung Harapan,Small airport,Tanjung Selor-Borneo Island,Indonesia,TJS,WALG,
10,Kulob,Medium airport,Kulyab,Tajikistan,TJU,UTDK,
11,Tanjore Air Force Base,Small airport,Thanjavur,India,TJV,VOTJ,
12,Talkeetna,Small airport,Talkeetna,United States,TKA,PATK,TKA
13,TalkeetnaClosed,Closed,Talkeetna,United States,TKA,,
14,Tekadu,Small airport,Tekadu,Papua New Guinea,TKB,AYTZ,
15,Tiko,Medium airport,Tiko,Cameroon,TKC,FKKC,
16,Takoradi,Medium airport,Sekondi-Takoradi,Ghana,TKD,DGTK,
17,Tenakee,Seaplane base,Tenakee Springs,United States,TKE,TKE,TKE
18,Truckee Tahoe,Medium airport,Truckee,United States,TKF,KTRK,TRK
19,Radin Inten II (Branti),Medium airport,Bandar Lampung-Sumatra Island,Indonesia,TKG,WILL,
20,Takhli,Medium airport,,Thailand,TKH,VTPI,
21,Tokeen,Seaplane base,Tokeen,United States,TKI,57A,57A
22,TokClosed,Closed,Tok,United States,TKJ,PATJ,
23,Tok Junction,Small airport,Tok,United States,TKJ,PFTO,6K8
24,Chuuk International,Medium airport,Weno Island,Micronesia,TKK,PTKK,
25,Taku Lodge,Seaplane base,Taku Lodge,United States,TKL,TKL,TKL
26,El Petén,Small airport,Tikal,Guatemala,TKM,,
27,Tokunoshima,Medium airport,Tokunoshima,Japan,TKN,RJKN,
28,Tlokoeng,Small airport,Tlokoeng,Lesotho,TKO,FXTK,
29,Takapoto,Medium airport,,French Polynesia,TKP,NTGT,
30,Kigoma,Small airport,Kigoma,Tanzania,TKQ,HTKA,
31,Thakurgaon,Small airport,Thakurgaon,Bangladesh,TKR,VGSG,
32,Tokushima/JMSDF Air Base,Medium airport,Tokushima,Japan,TKS,RJOS,
33,Tak,Medium airport,,Thailand,TKT,VTPT,
34,Turku,Medium airport,Turku,Finland,TKU,EFTU,
35,Tatakoto,Small airport,Tatakoto,French Polynesia,TKV,NTGO,
36,Tekin,Small airport,Tekin,Papua New Guinea,TKW,AYTN,
37,Takaroa,Medium airport,,French Polynesia,TKX,NTKR,
38,Turkey Creek,Small airport,Turkey Creek,Australia,TKY,YTKY,
39,Tokoroa Airfield,Small airport,Tokoroa,New Zealand,TKZ,NZTO,
40,Teller,Small airport,Teller,United States,TLA,PATE,TER
41,Tarbela Dam,Small airport,Tarbela,Pakistan,TLB,OPTA,
42,Licenciado Adolfo Lopez Mateos International,Medium airport,Toluca,Mexico,TLC,MMTO,
43,Limpopo Valley,Small airport,Tuli Lodge,Botswana,TLD,FBLV,
44,Toliara,Medium airport,,Madagascar,TLE,FMST,
45,Telida,Small airport,Telida,United States,TLF,2K5,2K5
46,Tulaghi,Heliport,Tulaghi Island,Solomon Islands,TLG,AGTI,
47,Tallahassee Regional,Large airport,Tallahassee,United States,TLH,KTLH,TLH
48,Sultan Bantilan,Small airport,Toli Toli-Celebes Island,Indonesia,TLI,WAMI,
49,Tatalina LRRS,Medium airport,Takotna,United States,TLJ,PATL,TLJ
50,TálknafjörðurClosed,Closed,Tálknafjörður,Iceland,TLK,BITF,
51,Lennart Meri Tallinn,Large airport,Tallinn,Estonia,TLL,EETN,
52,Zenata – Messali El Hadj,Medium airport,Tlemcen,Algeria,TLM,DAON,
53,Toulon-Hyères,Medium airport,Toulon/Hyères/Le Palyvestre,France,TLN,LFTH,
54,Tol,Small airport,Tol,Papua New Guinea,TLO,AYXO,
55,Tumolbil,Small airport,Tumolbil,Papua New Guinea,TLP,AYQL,
56,Turpan Jiaohe,Medium airport,Turpan,China,TLQ,ZWTP,
57,Mefford Field,Small airport,Tulare,United States,TLR,KTLR,TLR
58,Toulouse-Blagnac,Large airport,Toulouse/Blagnac,France,TLS,LFBO,
59,Tuluksak,Small airport,Tuluksak,United States,TLT,TLT,TLT
60,Golfo de Morrosquillo,Small airport,Tolú,Colombia,TLU,SKTL,
61,Ben Gurion International,Large airport,Tel Aviv,Israel,TLV,LLBG,
62,Talasea,Small airport,Talasea,Papua New Guinea,TLW,AYVL,
63,Panguilemo,Medium airport,Talca,Chile,TLX,SCTL,
64,Plastun,Small airport,Plastun,Russia,TLY,UHWP,
65,Catalão,Small airport,Catalão,Brazil,TLZ,SWKT,
66,Henry Tift Myers,Small airport,Tifton,United States,TMA,KTMA,TMA
67,Kendall-Tamiami Executive,Medium airport,Miami,United States,TMB,KTMB,TMB
68,Tambolaka,Small airport,Waikabubak-Sumba Island,Indonesia,TMC,WADT,
69,Timbedra,Small airport,Timbedra,Mauritania,TMD,GQNH,
70,Gustavo Vargas,Medium airport,Tame,Colombia,TME,SKTM,
71,Tomanggong,Small airport,Tomanggong,Malaysia,TMG,WBKM,
72,Tanah Merah,Small airport,Tanah Merah-Papua Island,Indonesia,TMH,WAKT,
73,Tumling Tar,Small airport,Tumling Tar,Nepal,TMI,VNTR,
74,Termez,Medium airport,Termez,Uzbekistan,TMJ,UTST,
75,Tamale,Medium airport,Tamale,Ghana,TML,DGLE,
76,Toamasina,Medium airport,,Madagascar,TMM,FMMT,
77,Tamana Island,Small airport,Tamana Island,Kiribati,TMN,NGTM,
78,Tumeremo,Medium airport,,Venezuela,TMO,SVTM,
79,Tampere-Pirkkala,Medium airport,Tampere / Pirkkala,Finland,TMP,EFTP,
80,Tambao,Small airport,Tambao,Burkina Faso,TMQ,DFEM,
81,Aguenar – Hadj Bey Akhamok,Medium airport,Tamanrasset,Algeria,TMR,DAAT,
82,São Tomé International,Medium airport,São Tomé,São Tomé and Principe,TMS,FPST,
83,Trombetas,Medium airport,Oriximiná,Brazil,TMT,SBTB,
84,Tambor,Small airport,Nicoya,Costa Rica,TMU,MRTR,
85,Tamworth,Medium airport,Tamworth,Australia,TMW,YSTW,
86,Timimoun,Medium airport,Timimoun,Algeria,TMX,DAUT,
87,Tiom,Small airport,Tiom-Papua Island,Indonesia,TMY,,
88,Thames Aerodrome,Small airport,,New Zealand,TMZ,NZTH,
89,Yaoqiang,Large airport,Jinan,China,TNA,ZSJN,
90,Tanah Grogot,Small airport,Tanah Grogot-Borneo Island,Indonesia,TNB,WRLH,
91,Tin City Long Range Radar Station,Small airport,Tin City,United States,TNC,PATC,TNC
92,Alberto Delgado,Medium airport,Trinidad,Cuba,TND,MUTD,
93,New Tanegashima,Medium airport,Tanegashima,Japan,TNE,RJFG,
94,Toussus-le-Noble,Medium airport,Toussus-le-Noble,France,TNF,LFPN,
95,Ibn Batouta,Medium airport,Tangier,Morocco,TNG,GMTT,
96,Tonghua Sanyuanpu,Medium airport,Tonghua,China,TNH,ZYTN,
97,Satna,Small airport,,India,TNI,VIST,
98,Raja Haji Fisabilillah International,Small airport,Tanjung Pinang-Bintan Island,Indonesia,TNJ,WIDN,
99,Tununak,Small airport,Tununak,United States,TNK,4KA,4KA
0,Ternopil International,Small airport,Ternopil,Ukraine,TNL,UKLT,
1,Teniente Rodolfo Marsh Martin Base,Small airport,Isla Rey Jorge,Antarctica,TNM,SCRM,
2,Tainan,Medium airport,Tainan City,Taiwan,TNN,RCNN,
3,Tamarindo,Small airport,Tamarindo,Costa Rica,TNO,MRTM,
4,Twentynine Palms,Small airport,Twentynine Palms,United States,TNP,KTNP,TNP
5,Washington Island Airstrip,Small airport,Teraina,Kiribati,TNQ,PLWN,
6,Ivato,Medium airport,Antananarivo,Madagascar,TNR,FMMI,
7,Tungsten (Cantung),Small airport,Tungsten,Canada,TNS,CBX5,
8,Dade Collier Training and Transition,Small airport,Miami,United States,TNT,KTNT,TNT
9,Newton Municipal,Small airport,Newton,United States,TNU,KTNU,TNU
10,Tabuaeran Island,Small airport,Tabuaeran Island,Kiribati,TNV,PLFA,
11,Jumandy,Medium airport,Tena,Ecuador,TNW,,
12,Stung Treng,Medium airport,Stung Treng,Cambodia,TNX,VDST,
13,Tosontsengel,Small airport,Tosontsengel,Mongolia,TNZ,ZMTL,
14,Zamperini Field,Small airport,Torrance,United States,TOA,KTOA,TOA
15,Gamal Abdel Nasser,Small airport,Tobruk,Libya,TOB,HLGN,
16,Toccoa - R.G. Letourneau Field,Small airport,Toccoa,United States,TOC,KTOC,TOC
17,Pulau Tioman,Medium airport,Pulau Tioman,Malaysia,TOD,WMBT,
18,Tozeur Nefta International,Medium airport,Tozeur,Tunisia,TOE,DTTZ,
19,Bogashevo,Medium airport,Tomsk,Russia,TOF,UNTT,
20,Togiak,Medium airport,Togiak Village,United States,TOG,PATG,TOG
21,Torres Airstrip,Small airport,Loh/Linua,Vanuatu,TOH,NVSD,
22,Troy Municipal,Medium airport,Troy,United States,TOI,KTOI,TOI
23,Torrejón,Medium airport,Madrid,Spain,TOJ,LETO,
24,TorokinaClosed,Closed,Torokina,Papua New Guinea,TOK,,
25,Toledo Express,Large airport,Toledo,United States,TOL,KTOL,TOL
26,Timbuktu,Medium airport,Timbuktu,Mali,TOM,GATB,
27,Tonu,Small airport,Tonu,Papua New Guinea,TON,AYVO,
28,San Vito De Java,Medium airport,Coto Brus,Costa Rica,TOO,MRSV,
29,Philip Billard Municipal,Medium airport,Topeka,United States,TOP,KTOP,TOP
30,Barriles,Medium airport,Tocopilla,Chile,TOQ,SCBE,
31,Torrington Municipal,Small airport,Torrington,United States,TOR,KTOR,TOR
32,Tromsø,Large airport,Tromsø,Norway,TOS,ENTC,
33,Totness,Small airport,Totness,Suriname,TOT,SMCO,
34,Touho,Medium airport,Touho,New Caledonia,TOU,NWWU,
35,West End SPBClosed,Closed,Tortola,British Virgin Islands,TOV,,
36,Toledo,Small airport,Toledo,Brazil,TOW,SBTD,
37,Tobolsk,Small airport,Tobolsk,Russia,TOX,USTO,
38,Toyama,Medium airport,Toyama,Japan,TOY,RJNT,
39,Mahana,Small airport,Touba,Côte d'Ivoire,TOZ,DITM,
40,Tampa International,Large airport,Tampa,United States,TPA,KTPA,TPA
41,Tarapoa,Medium airport,Tarapoa,Ecuador,TPC,SETR,
42,Taiwan Taoyuan International,Large airport,Taipei,Taiwan,TPE,RCTP,
43,Peter O Knight,Small airport,Tampa,United States,TPF,KTPF,TPF
44,Taiping (Tekah),Small airport,Taiping,Malaysia,TPG,WMBI,
45,Tonopah,Medium airport,Tonopah,United States,TPH,KTPH,TPH
46,Tapini,Small airport,Tapini,Papua New Guinea,TPI,AYTI,
47,Taplejung,Medium airport,Taplejung,Nepal,TPJ,VNTJ,
48,Teuku Cut Ali,Small airport,Tapak Tuan-Sumatra Island,Indonesia,TPK,WITA,
49,Draughon Miller Central Texas Regional,Medium airport,Temple,United States,TPL,KTPL,TPL
50,Tiputini,Small airport,Tiputini,Ecuador,TPN,SETI,
51,Tanalian PointClosed,Closed,Tanalian Point,United States,TPO,,
52,Cadete FAP Guillermo Del Castillo Paredes,Medium airport,Tarapoto,Perú,TPP,SPST,
53,Amado Nervo National,Medium airport,Tepic,Mexico,TPQ,MMEP,
54,Tom Price,Small airport,Tom Price,Australia,TPR,YTMP,
55,Vincenzo Florio Trapani-Birgi,Medium airport,Trapani (TP),Italy,TPS,LICT,
56,Tapeta,Small airport,Tapeta,Liberia,TPT,,
57,Tikapur,Small airport,Tikapur,Nepal,TPU,VNTP,
58,Al Taqaddum Air Base,Medium airport,Al Habbaniyah,Iraq,TQD,ORAT,
59,Tarko-Sale,Small airport,Tarko-Sale,Russia,TQL,USDS,
60,Talolqan,Small airport,Taloqan,Afghanistan,TQN,OATQ,
61,Trepell,Small airport,Trepell,Australia,TQP,YTEE,
62,Maranggo,Small airport,Waha-Tomea Island,Indonesia,TQQ,WA44,
63,San Domino Island,Heliport,Tremiti Islands,Italy,TQR,,
64,Tres Esquinas Air Base,Medium airport,Tres Esquinas,Colombia,TQS,SKTQ,
65,Ottawa / Rockcliffe,Seaplane base,Ottawa,Canada,TR7,CTR7,
66,Tarama,Medium airport,Tarama,Japan,TRA,RORT,
67,Gonzalo Mejía,Small airport,Turbo,Colombia,TRB,SKTU,
68,Francisco Sarabia International,Medium airport,Torreón,Mexico,TRC,MMTC,
69,Trondheim Værnes,Large airport,Trondheim,Norway,TRD,ENVA,
70,Tiree,Medium airport,Balemartine,United Kingdom,TRE,EGPU,
71,"Sandefjord, Torp",Medium airport,Torp,Norway,TRF,ENTO,
72,Tauranga,Medium airport,Tauranga,New Zealand,TRG,NZTG,
73,Trona,Small airport,Trona,United States,TRH,L72,L72
74,Tri-Cities Regional TN/VA,Large airport,Bristol/Johnson/Kingsport,United States,TRI,KTRI,TRI
75,Tarakbits,Small airport,Tarakbits,Papua New Guinea,TRJ,AYTT,
76,Juwata,Medium airport,Tarakan Island,Indonesia,TRK,WAQQ,
77,Terrell MunicipalClosed,Closed,Terrell,United States,TRL,,
78,Jacqueline Cochran Regional,Medium airport,Palm Springs,United States,TRM,KTRM,TRM
79,Turin,Large airport,Torino,Italy,TRN,LIMF,
80,Taree,Medium airport,Taree,Australia,TRO,YTRE,
81,Tarauacá,Medium airport,Tarauacá,Brazil,TRQ,SBTK,
82,China Bay,Medium airport,Trincomalee,Sri Lanka,TRR,VCCT,
83,Trieste–Friuli Venezia Giulia,Medium airport,Trieste,Italy,TRS,LIPQ,
84,TremontonClosed,Closed,"Tremonton, UT",United States,TRT,,
85,Capitan FAP Carlos Martinez De Pinillos International,Medium airport,Trujillo,Perú,TRU,SPRU,
86,Trivandrum International,Large airport,Thiruvananthapuram,India,TRV,VOTV,
87,Bonriki International,Medium airport,Tarawa,Kiribati,TRW,NGTA,
88,Tororo,Small airport,Tororo,Uganda,TRY,HUTO,
89,Tiruchirapally Civil,Medium airport,Tiruchirappally,India,TRZ,VOTR,
90,Taipei Songshan,Medium airport,Taipei City,Taiwan,TSA,RCSS,
91,Tsumeb,Medium airport,Tsumeb,Namibia,TSB,FYTM,
92,Taisha,Small airport,Taisha,Ecuador,TSC,SETH,
93,Tshipise,Small airport,Tshipise,South Africa,TSD,,
94,Astana International,Large airport,Astana,Kazakhstan,TSE,UACC,
95,Treviso-Sant'Angelo,Large airport,Treviso,Italy,TSF,LIPH,
96,Tanacross,Small airport,Tanacross,United States,TSG,TSG,TSG
97,Tshikapa,Small airport,Tshikapa,Congo (Kinshasa),TSH,FZUK,
98,Tsushima,Medium airport,Tsushima,Japan,TSJ,RJDT,
99,TaskulClosed,Closed,Taskul,Papua New Guinea,TSK,,
0,Tamuin,Small airport,,Mexico,TSL,MMTN,
1,Taos Regional,Small airport,Taos,United States,TSM,KSKX,SKX
2,Tianjin Binhai International,Large airport,Tianjin,China,TSN,ZBTJ,
3,TrescoClosed,Closed,Isles of Scilly,United Kingdom,TSO,,
4,Torres,Small airport,Torres,Brazil,TSQ,SBTR,
5,Timişoara Traian Vuia,Medium airport,Timişoara,Romania,TSR,LRTR,
6,East 34th StreetClosed,Closed,New York,United States,TSS,,6N5
7,Trang,Medium airport,,Thailand,TST,VTST,
8,Tabiteuea South,Small airport,Tabiteuea South,Kiribati,TSU,NGTS,
9,Townsville,Medium airport,Townsville,Australia,TSV,YBTL,
10,Tsewi,Small airport,Tsewi,Papua New Guinea,TSW,AYTS,
11,Tanjung Santan,Small airport,Santan-Borneo Island,Indonesia,TSX,WALT,
12,Cibeureum,Small airport,Tasikmalaya-Java Island,Indonesia,TSY,WICM,
13,Tselserleg,Small airport,Tselserleg,Mongolia,TSZ,ZMTG,
14,Tan Tan,Medium airport,Tan Tan,Morocco,TTA,GMAT,
15,Tortolì,Medium airport,Arbatax,Italy,TTB,LIET,
16,Las Breas,Medium airport,Taltal,Chile,TTC,SCTT,
17,Portland Troutdale,Medium airport,Portland,United States,TTD,KTTD,TTD
18,Sultan Khairun Babullah,Medium airport,Sango-Ternate Island,Indonesia,TTE,WAMT,
19,General Enrique Mosconi,Medium airport,Tartagal,Argentina,TTG,SAST,
20,Thumrait Air Base,Medium airport,Thumrait,Oman,TTH,OOTH,
21,Tetiaroa,Small airport,Tetiaroa,French Polynesia,TTI,NTTE,
22,Tottori,Medium airport,Tottori,Japan,TTJ,RJOR,
23,Turtle Island,Seaplane base,Nanuya Levu Island,Fiji,TTL,NFUL,
24,Turtle Island Seaplane BaseClosed,Closed,Nanuya Levu Island,Fiji,TTL,,
25,Tablon De TamaraClosed,Closed,Tablon De Tamara,Colombia,TTM,,
26,Trenton Mercer,Medium airport,Trenton,United States,TTN,KTTN,TTN
27,Britton Municipal,Small airport,Britton,United States,TTO,KBTN,BTN
28,Aerotortuguero,Medium airport,Roxana,Costa Rica,TTQ,MRAO,
29,Pongtiku,Small airport,Makale,Indonesia,TTR,WAWT,
30,Tsaratanana,Small airport,Tsaratanana,Madagascar,TTS,FMNT,
