,Airport,Type,City,Country,IATA,ICAO,FAA
19,Fuyun Koktokay,Medium airport,Fuyun,China,FYN,ZWFY,
20,Faya Largeau,Medium airport,,Chad,FYT,FTTY,
21,Fort Yukon,Medium airport,Fort Yukon,United States,FYU,PFYU,FYU
22,Drake Field,Medium airport,Fayetteville,United States,FYV,KFYV,FYV
23,Fray Bentos,Small airport,Fray Bentos,Uruguay,FZB,,
24,Bristol FiltonClosed,Closed,Bristol,United Kingdom,FZO,EGTG,
0,Guamal,Airport,Guamal,Colombia,GAA,,
1,Gabbs,Small airport,Gabbs,United States,GAB,KGAB,GAB
2,Celaque,Small airport,Gracias,Honduras,GAC,MHGS,
3,Northeast Alabama Regional,Small airport,Gadsden,United States,GAD,KGAD,GAD
4,Gabès Matmata International,Medium airport,Gabès,Tunisia,GAE,DTTG,
5,Gafsa Ksar International,Medium airport,Gafsa,Tunisia,GAF,DTTF,
6,Gage,Small airport,Gage,United States,GAG,KGAG,GAG
7,Gayndah,Small airport,,Australia,GAH,YGAY,
8,Montgomery County Airpark,Small airport,Gaithersburg,United States,GAI,KGAI,GAI
9,Yamagata,Medium airport,Yamagata,Japan,GAJ,RJSC,
10,GakonaClosed,Closed,Gakona,United States,GAK,,
11,Edward G. Pitka Sr,Medium airport,Galena,United States,GAL,PAGA,GAL
12,Gambell,Medium airport,Gambell,United States,GAM,PAGM,GAM
13,Gan International,Medium airport,Gan,Maldives,GAN,VRMG,
14,Mariana Grajales,Medium airport,Guantánamo,Cuba,GAO,MUGT,
15,Gusap,Small airport,Gusap,Papua New Guinea,GAP,AYGP,
16,Gao,Medium airport,,Mali,GAQ,GAGO,
17,Garaina,Small airport,Garaina,Papua New Guinea,GAR,AYGI,
18,Garissa,Small airport,Garissa,Kenya,GAS,HKGA,
